cores,nodes,mean_time,stdev,speedup,amdahl_speedup,outliers,num_runs
1,8464173,0.244989,0.011552,1.0000,1.0000,0,10
2,8464173,0.151049,0.009530,1.6219,1.6525,0,10
4,8464173,0.091962,0.005527,2.6640,2.4526,1,10
8,8464173,0.080061,0.023745,3.0600,3.2361,3,10
