cores,nodes,mean_time,stdev,speedup,amdahl_speedup,outliers,num_runs
1,919442,0.586709,0.052606,1.0000,1.0000,2,10
2,919442,0.857664,0.009365,0.6841,1.0000,0,10
4,919442,0.990540,0.094922,0.5923,1.0000,0,10
8,919442,1.130678,0.024377,0.5189,1.0000,0,10
