cores,nodes,mean_time,stdev,scaled_speedup,gustafson_speedup,outliers,num_runs
1,1048575,0.580375,0.111664,1.0000,1.0000,2,10
2,2097151,1.352682,0.050125,0.8581,1.0146,1,10
4,4194303,2.154268,0.210054,1.0776,1.0439,1,10
8,8388607,4.122978,0.151356,1.1261,1.1024,0,10
