cores,nodes,mean_time,stdev,scaled_speedup,gustafson_speedup,outliers,num_runs
1,16383,0.000725,0.000338,1.0000,1.0000,1,10
2,32767,0.000961,0.000189,1.5088,1.2663,0,10
4,65535,0.001342,0.000342,2.1610,1.7989,0,10
8,131071,0.002025,0.000255,2.8642,2.8642,1,10
