cores,nodes,mean_time,stdev,scaled_speedup,gustafson_speedup,outliers,num_runs
1,3360,0.002048,0.000214,1.0000,1.0000,1,10
2,6931,0.335999,0.033170,0.0122,1.0000,1,10
4,13695,0.446929,0.005218,0.0183,1.0000,0,10
8,27990,0.718455,0.037944,0.0228,1.0000,2,10
