cores,nodes,mean_time,stdev,scaled_speedup,gustafson_speedup,outliers,num_runs
1,919442,0.027374,0.001999,1.0000,1.0000,0,10
2,1855434,0.030468,0.002054,1.7969,1.6305,0,10
4,3731355,0.035416,0.002498,3.0917,2.8915,0,10
8,7518053,0.057916,0.006285,3.7812,5.4134,1,10
