cores,run,time,branches
1,1,4.907430,8388607
1,2,4.732920,8388607
1,3,4.754040,8388607
2,1,5.096460,8388607
2,2,5.057680,8388607
2,3,5.008970,8388607
4,1,3.520100,8388607
4,2,3.574950,8388607
4,3,4.381770,8388607
8,1,4.120310,8388607
8,2,3.948630,8388607
8,3,3.822110,8388607
