cores,run,time,branches
1,1,0.009110,16383
1,2,0.008780,16383
1,3,0.010220,16383
2,1,0.360960,32767
2,2,0.399250,32767
2,3,0.323500,32767
4,1,0.436140,65535
4,2,0.448360,65535
4,3,0.441670,65535
8,1,0.680200,131071
8,2,0.649940,131071
8,3,0.656170,131071
