min_length,branches,seq_time,par_time,speedup,efficiency
0.2,12474,0.007500,0.462090,0.0162,0.0041
0.1,34844,0.022860,0.450914,0.0507,0.0127
0.01,919442,0.746553,0.925689,0.8065,0.2016
0.001,27082861,16.887755,22.820881,0.7400,0.1850
