cores,nodes,mean_time,stdev,speedup,amdahl_speedup,outliers,num_runs
1,8388607,5.112228,0.678798,1.0000,1.0000,1,10
2,8388607,5.179453,0.080209,0.9870,1.0534,0,10
4,8388607,4.538644,0.076313,1.1264,1.0822,0,10
8,8388607,4.422058,0.047561,1.1561,1.0973,0,10
