cores,nodes,mean_time,stdev,speedup,amdahl_speedup,outliers,num_runs
1,8388607,0.211303,0.029450,1.0000,1.0000,2,10
2,8388607,0.102191,0.004577,2.0677,1.8423,1,10
4,8388607,0.068698,0.004970,3.0758,3.1828,0,10
8,8388607,0.055368,0.004814,3.8163,5.0028,2,10
