split_depth,n_seq,num_tasks,n_parallel,max_task,mean_task,imbalance,t_ideal,t_dynamic
1,1,2,919441,514906,459720.5,1.1200414164693548,114932,514907
2,3,4,919439,288470,229859.75,1.2549826579033518,114933,288473
3,7,8,919435,161522,114929.375,1.4054022307177778,114937,161529
4,15,16,919427,90295,57464.1875,1.5713264892155658,114944,125154
5,31,32,919411,50350,28731.59375,1.7524262816085516,114958,121616
6,63,64,919379,27991,14365.296875,1.9485152477922598,114986,115387
7,127,128,919315,15516,7182.1484375,2.1603563522840377,115042,115965
8,255,256,919187,8584,3590.57421875,2.3907039590420665,115154,115217
9,511,512,918931,4748,1794.787109375,2.645439102609445,115378,115453
10,1023,1024,918419,2632,896.8935546875,2.9345734354363313,115826,115947
11,2047,2048,917395,1466,447.94677734375,3.2727102284185112,116722,116748
12,4095,4096,915347,822,223.473388671875,3.6782903095765866,118514,118519
