cores,nodes,mean_time,stdev,scaled_speedup,gustafson_speedup,outliers,num_runs
1,16383,0.009370,0.000754,1.0000,1.0000,0,3
2,32767,0.361237,0.037876,0.0519,1.0000,0,3
4,65535,0.442057,0.006119,0.0848,1.0000,0,3
8,131071,0.662103,0.015979,0.1132,1.0000,0,3
